NodeID,Type,Ability,AvgTrustScore
363,Private,-1.17426,0.0640111
364,Government,8.86722,1
365,Government,4.71594,1
366,Government,7.38139,1
367,Government,7.8679,1
368,Private,-0.999282,0.0960487
369,Private,3.52553,0.996413
370,Private,-2.3006,0.0226783
371,Government,4.00217,1
372,Government,-1.08353,0.50653
373,Private,6.3275,0.995783
374,Government,10.0325,1
375,Government,12.2276,1
376,Private,-7.021,0.00360852
165,Government,7.06092,1
150,Private,-4.50443,0.00586325
151,Private,4.43033,0.996019
152,Government,11.1711,1
153,Private,-0.208102,0.386546
154,Private,5.82945,0.996935
155,Private,5.28156,0.996397
156,Government,1.08376,0.978971
157,Private,-0.166615,0.409468
158,Private,-3.03626,0.00432773
159,Government,7.17971,1
160,Private,-0.456066,0.26956
161,Private,-8.00706,0.00430003
162,Private,11.3333,0.996036
163,Private,4.04042,0.992554
164,Government,-0.31652,0.721257
149,Private,-17.7694,0.00313201
167,Government,0.32879,0.788531
168,Private,-0.111903,0.45762
169,Private,8.42021,0.993961
170,Private,8.2635,0.994754
171,Private,-14.9233,0.00374509
172,Government,-1.62215,0.555253
173,Government,9.33457,1
174,Private,5.69129,0.997066
487,Private,13.2012,0.996702
425,Private,-12.3606,0.00420529
426,Private,-6.26796,0.00392892
427,Private,2.13843,0.9825
428,Private,9.3073,0.994377
429,Government,-2.60795,0.443491
430,Private,17.5063,0.997158
431,Private,5.14434,0.994822
432,Private,-11.1908,0.00455394
433,Government,0.399135,0.903981
434,Private,1.92349,0.990545
435,Private,-9.18787,0.00354583
436,Private,1.49072,0.962478
437,Government,-0.63391,0.556063
438,Private,13.0817,0.996089
439,Government,1.51147,0.990563
393,Private,-0.467367,0.270035
378,Private,0.0497287,0.549443
379,Private,1.00893,0.896844
380,Private,12.2015,0.996618
381,Private,-8.27894,0.00658865
382,Government,6.09254,1
383,Government,-0.550924,0.599405
135,Private,-0.193537,0.403375
136,Private,7.69159,0.993523
137,Private,1.3279,0.956086
138,Government,-3.03613,0.401543
139,Private,7.01725,0.994466
140,Private,-1.3288,0.0430474
141,Government,9.75001,1
142,Private,10.5091,0.997212
127,Private,7.66436,0.994704
190,Private,3.77988,0.989782
144,Government,0.818671,0.951183
145,Private,-8.5413,0.00512166
146,Government,3.41659,1
147,Private,3.73079,0.991441
148,Private,7.67698,0.995842
166,Government,8.42477,1
441,Private,0.329731,0.663803
442,Private,-0.648385,0.141943
443,Private,-4.19196,0.00350863
444,Private,-4.81264,0.00591396
445,Private,-5.02827,0.00513929
446,Government,4.15342,1
447,Government,13.0067,1
448,Private,2.55393,0.989949
449,Government,-1.99267,0.416321
450,Private,3.22467,0.988162
451,Government,9.54231,1
452,Private,4.37447,0.992011
453,Government,2.46586,1
454,Private,-13.3085,0.00340267
455,Private,5.29213,0.995223
456,Private,-5.36646,0.0075072
457,Private,1.89682,0.97533
458,Private,-9.20132,0.00336341
459,Private,-12.2823,0.00344202
460,Private,0.813734,0.878582
461,Private,3.35388,0.996391
462,Private,13.29,0.996076
463,Private,-11.8324,0.00270145
464,Private,-3.69052,0.0137622
465,Government,7.91587,1
466,Private,-5.39431,0.00407104
467,Private,8.05893,0.996013
468,Government,12.8255,1
469,Private,1.70774,0.97538
470,Private,-9.98534,0.00312519
471,Private,-2.87391,0.00584125
472,Private,-2.34914,0.00437019
473,Government,-0.160932,0.660086
474,Government,-1.01141,0.51113
475,Private,-1.39309,0.036573
476,Government,8.80416,1
477,Private,8.07411,0.996296
478,Private,-5.76333,0.00406269
479,Government,7.53496,1
480,Private,0.439301,0.733091
481,Private,-13.898,0.00341936
