run,type,module,name,attrname,attrvalue,value
General-0-20250529-15:37:16-15764,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_150,,,0.33333333333333
General-0-20250529-15:37:16-15764,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_160,,,0.33333333333333
General-0-20250529-15:37:16-15764,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_170,,,0.33333333333333
General-0-20250529-15:37:16-15764,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_180,,,0.33333333333333
General-0-20250529-15:37:16-15764,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_190,,,0.33333333333333
General-0-20250529-15:37:16-15764,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_200,,,0.33333333333333
General-0-20250529-15:37:16-15764,scalar,BlockchainNetwork.iotNode[0],BestAccuracy,,,0.83333330555556
General-0-20250529-15:37:16-15764,scalar,BlockchainNetwork.iotNode[0],BestF1Score,,,0.78260815122903
General-0-20250529-15:37:16-15764,scalar,BlockchainNetwork.iotNode[0],BestPrecision,,,0.64285709693878
General-0-20250529-15:37:16-15764,scalar,BlockchainNetwork.iotNode[0],BestRecall,,,0.9999998888889
General-0-20250529-15:37:16-15764,scalar,BlockchainNetwork.iotNode[0],BestThreshold,,,0.37
General-0-20250529-15:37:16-15764,scalar,BlockchainNetwork.iotNode[0],FinalAverageBadServices,,,0.33333333333333
General-0-20250529-15:37:16-15764,param,BlockchainNetwork,maliciousNodePercentage,,,0.3
General-0-20250529-15:37:16-15764,param,BlockchainNetwork,numNodes,,,30
General-0-20250529-15:37:16-15764,param,BlockchainNetwork,typename,,,"""src.BlockchainNetwork"""
General-0-20250529-15:37:16-15764,param,BlockchainNetwork.iotNode[0],typename,,,"""src.IoTNode"""
General-0-20250529-15:37:16-15764,param,BlockchainNetwork.iotNode[0],maliciousNodePercentage,,,0.3
General-0-20250529-15:37:16-15764,param,BlockchainNetwork.iotNode[0],maliciousNodePercentage,,,0.3
General-0-20250529-15:37:16-15764,param,BlockchainNetwork.iotNode[0],typename,,,"""src.IoTNode"""
